,card_name,card_url,card_img,card_summary
25,하나 스카이패스 아멕스 플래티늄 카드,13912,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/13351.png," 1. 국내 1,000원당 1마일 적립 2. 해외 1,000원당 2마일 적립 3. 인천공항라운지 입장 무료"
26,밀리언달러 하나카드,14409,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/13579.png, 1. 해외 수수료 면제 2. 해외 가맹점 0.7% 적립 3. 편의점/대중교통 5.0% 적립
27,Mile 1.6 대한항공,8317,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/11662.png," 1. 해외 1.8마일 적립 2. 국내 1.6마일 적립 3. 영화 4,000원 할인"
28,Mile 1.6 아시아나,8318,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/11661.png," 1. 해외 1.8마일 적립 2. 국내 1.6마일 적립 3. 영화 4,000원 할인"
29,My Trip SKYPASS 카드 My flight,9911,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/12552.png," 1. 국내 1,500원당 1마일 적립 2. 해외 1,500원당 1.2마일 적립 3. 항공권 5% 할인"
30,My Trip AsianaClub 카드 My flight,9913,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/12553.png," 1. 국내 1,000원당 1마일 적립 2. 해외 1,000원당 1.2마일 적립 3. 항공권 5% 할인"
31,My Trip 1Q Global VIVA,11155,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/12554.png, 1. 해외이용 국제브랜드 수수료(1%) 면제 2. 해외이용 5~9% 적립 3. LCC/면세점 5~9% 적립
32,토스(toss) 하나카드,11799,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/12696.png, 1. 해외 가맹점 최대 1만 토스 포인트 적립 2. 해외 인출 수수료 우대 3. 국제 브랜드 VISA 브랜드 브랜드 서비스
33,Mile1 하나카드,16883,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/14480.png, 1. 국내 6대 저비용 항공사 45 UniMile 적립 2. 해외전가맹점/국내면세점/여행사/OTA 35 UniMile 적립 3. 온라인쇼핑 15 UniMile 적립
34,Club Leaders 3 카드,16763,https://www.hanacard.co.kr/ATTACH/MOBILE_APP/images/card/14465.png," 1. 이용금액 1,500원당 1마일리지 대한항공 마일리지 적립 2. Travel & Family 바우처 바우처 서비스 제공 3. 전세계 제휴 공항라운지 The Lounge 무료"
35,Club Leaders 5 카드,16761,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/14423.png," 1. 이용금액 1,500원당 1마일리지  대한항공 마일리지 적립 2. Travel & Family 바우처Golf & Culture 바우처 바우처 서비스 2종 제공 3. 전세계 제휴 공항라운지  The Lounge 무료"
