,card_name,card_url,card_img
0,현대카드M HYBRID,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardflag=C&cardWcd=CMH&eventCode=00000,https://img.hyundaicard.com/img/com/card/card_CMH_h.png
1,현대카드X HYBRID,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardflag=C&cardWcd=CXH&eventCode=00000,https://img.hyundaicard.com/img/com/card/card_CXH_h.png
2,현대카드M CHECK,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardflag=C&cardWcd=CMC&eventCode=00000,https://img.hyundaicard.com/img/com/card/card_CMC_h.png
3,현대카드X CHECK,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardflag=C&cardWcd=CXC&eventCode=00000,https://img.hyundaicard.com/img/com/card/card_CXC_h.png
